MiNg_100_CAISO,MiNg_150_CAISO,MiNg_100_ERCOT,MiNg_150_ERCOT,MiNg_100_MISO-W,MiNg_150_MISO-W,MiNg_100_NYISO,MiNg_150_NYISO,MiNg_100_PJM-W,MiNg_150_PJM-W,BaseCaseTax,HighWindTax,HighSolarTax,WinterNYTax
91.38,103.9,0,0,0.13,0,0.18,0,7.16,9.69,62.25,54.2,85.27,55.98
91.38,103.9,0.02,0.03,0.13,0,0.19,0,7.06,9.98,62.25,54.2,62.68,55.98
91.38,103.9,0.02,0.03,0.13,0,0.19,0.01,6.97,9.98,56.3,54.2,62.68,55.98
91.38,103.9,0,0.03,0.15,0.03,0.19,0.01,6.9,9.92,58.39,54.2,62.68,55.98
91.38,103.9,0,0.03,0.17,0.04,0.24,0.06,6.99,10.04,54.2,54.2,62.68,55.98
91.38,103.9,0.02,0.03,0.19,0.04,0.12,0,6.99,9.59,62.25,54.2,62.68,55.98
91.39,103.9,0,0,1.37,0,0,0,6.48,7.41,62.25,54.2,79.52,55.98
90.51,103.9,0,0,1.35,0,0,0,0,0,46.68,54.2,46.68,55.98
71.26,0,0,0,1.18,0,0,0,5.51,0,46.68,55.98,46.68,28.6
0,0,0,0,1.4,1.37,0,0,5.33,0,46.68,58.84,46.68,9.19
0,0,0,0,1.4,1.36,0,0,0,0,46.68,153.21,46.68,9.19
0,0,0,0,1.38,1.35,0,0,0,0,46.68,58.84,9.19,9.19
0,0,0,0,1.4,1.36,0,0,0,0,46.68,55.98,9.19,9.19
0,0,0,0,1.19,1.06,0,0,6.29,0,46.68,54.2,9.19,52.42
0,0,0,0,66.41,69.03,1.36,0.08,74.05,96.22,46.68,54.2,46.68,55.98
0,0,81.92,105.32,66.77,69.06,1.36,0.08,74.45,96.66,46.68,54.2,46.68,54.2
84.77,92.82,81.92,105.43,63.7,68.95,1.36,0.01,74.68,96.87,46.68,46.68,55.54,55.98
91.4,103.92,81.92,105.26,61.02,66.05,1.33,0,74.58,96.77,46.68,46.68,51.55,55.98
91.4,103.92,81.92,105.26,61.22,65.26,1.33,0,74.58,96.7,46.68,44.13,46.68,55.98
91.4,103.92,81.74,105.24,76.53,69.53,1.06,0,74.63,97.21,46.68,9.19,46.68,55.98
91.39,103.92,81.66,105.24,76.53,69.17,1.05,0,74.73,97.6,46.68,9.19,46.68,55.98
94.37,109.31,85.71,102.53,74.05,70.82,1.04,0,73.02,97.63,46.68,44.13,46.68,55.98
94.36,109.31,85.71,102.53,73.68,70.86,1.04,0,74.15,98.01,46.68,46.68,46.68,55.98
94.36,109.3,85.71,102.19,73.82,71.31,1.04,0,74.38,98.01,54.2,54.2,62.25,210.13
94.36,109.3,85.43,102.19,74.05,71,1.04,0,74.81,98.78,99.37,58.84,67.35,71.85
94.36,109.3,84.39,102.19,74.06,71.19,1.04,0,75,98.77,62.25,59.47,67.35,55.98
